name;comment;element_type;country;lat;long;exact
TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT
[];[];[];[];[degree];[degree];[]
Saltfleetby;;{S};Grossbritanien;53.393462;0.174512;2
SanBenedetto;;{S};Italien;42.9283;13.839223;2
Sandhausen;;{S};Deutschland;49.327473;8.644253;1
Sarmasel;;{S};Rumaenien;46.782414;24.183885;1
Schmidhausen;;{S};Deutschland;47.915455;10.039282;2
Schoenkirchen;Schînkirchen/Reyersdorf;{S};Oesterreich;48.376237;16.69966;1
SERENE Littoral, SERENE Sud: CÇrÇ-la-Ronde;;{S};Frankreich;47.2828;1.219284;1
SERENE Littoral, SERENE Sud: ChÇmery;;{S};Frankreich;47.387853;1.486212;1
SERENE Littoral, SERENE Sud: Soings-en-Sologne;;{S};Frankreich;47.426783;1.49935;1
Sergnano;;{S};Italien;45.427834;9.698543;1
Serrablo;;{S};Spanien;42.578117;-0.391536;1
Settala;;{S};Italien;45.451445;9.40167;1
Silivri;Silivri (Marmara);{S};Tuerkei;41.106836;28.180646;1
Sinarca;;{S};Italien;;;5
Skallen;;{S};Sweden;56.798359;12.863828;2
SouthKavala;;{S};Griechenland;NaN;NaN;4
Stassfurt;;{S};Deutschland;51.891723;11.555702;1
Stenlille;;{S};Daenemark;55.547794;11.62362;1
Stockstadt;;{S};Deutschland;49.822999;8.484942;1
STOGIT (storage group);TPA includes volumes allocated for production and transmission operation purposes. Non-TPA refers to strategic storage volumes with no withdrawal/injection capacity associated.;{S};Italien;;;5
Strachocina;;{S};Polen;49.62671;22.072274;1
Stublach;;{S};Grossbritanien;53.234065;-2.435024;1
Swarzow;;{S};Polen;50.197537;20.945148;1
Syderiai;;{S};Litauen;55.890548;22.302939;2
Szreg_1;;{S};Ungarn;46.302801;20.194969;1
Tallesbrunn;;{S};Oesterreich;48.355222;16.778209;1
Tanovice;;{S};Tschechien;49.714948;18.531823;1
Tarsus;;{S};Tuerkei;36.9175;34.883837;2
TÉrguMure;TÉrgu Mure?;{S};Rumaenien;46.565927;24.553105;2
Thann;;{S};Oesterreich;;;4
TIGF (storage group );;{S};Frankreich;;;4
Tramberk;;{S};Tschechien;49.593741;18.091834;1
TroisFontainesAbbaye;;{S};Frankreich;48.699704;4.973132;1
TuzGlÅ;Tuz GîlÅ / Aksaray Sultanhan’;{S};Tuerkei;38.099356;33.584839;1
Tvrdonice;;{S};Tschechien;48.780688;16.936667;1
Uelsen;;{S};Deutschland;52.504885;6.829442;1
Uhice;Uh?ice;{S};Tschechien;49.036809;16.933182;1
Urziceni;;{S};Rumaenien;44.720131;26.60623;1
VelkeKapusany;;{S};Slowakei;48.482002;22.121625;1
Wierzchowice;;{S};Polen;51.475463;17.306302;1
Wolfersberg;;{S};Deutschland;48.042629;11.816447;1
Xanten;;{S};Deutschland;51.663755;6.426365;1
Yela;;{S};Spanien;40.806749;-2.822598;1
Zsana;;{S};Ungarn;46.423701;19.700702;1
