name;description;element_type;country;lat;long;exact;source;license
TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT;TEXT;TEXT
[str];[str];[str];[str];[double];[double];1=exact,2=city,3=region,4=country;[str];[str]
CetateaDeBalta;;{S};Rumaenien;46.23695;24.208115;1;;
ChateauLandon;;{C};Frankreich;48.150232;2.704426;2;;
Chazelles;;{C};Frankreich;45.64714;0.367019;2;;
Chelmsford;;{C};Grossbritannien;51.75082117;0.404054565;1;;
Cherbourg;;{P};Frankreich;49.627;-1.602;2;;
Chieti;;{P};Italien;42.358755;14.141819;2;;
Child;;{P};Grossbritannien;50.9256087;-2.245209524;1;Shapefile;
Chinchilla;;{P};Spanien;38.921677;-1.7253;2;;
Chiren;;{S};Bulgarien;43.349887;23.592123;1;;
Chivasso;;{P};Italien;45.185492;7.901613;2;;
Churchover;;{C};Grossbritannien;52.41508373;-1.27196689;1;;
Churchover_1;;{P};Grossbritannien;52.41993279;-1.252979405;1;Shapefile;
Churchover_2;;{P};Grossbritannien;52.41320746;-1.270178039;1;Shapefile;
Ciciliano;;{P};Italien;41.957909;12.94136;2;;
Ciechanow;;{C};Polen;52.8814838;20.6197948;2;;
Cieszyn;;{C};Polen;49.7497638;18.6354709;2;;
Cleish;;{P};Grossbritannien;56.15954838;-3.507440931;1;Shapefile;
Clifton;;{P};Grossbritannien;52.69523218;-1.635780412;1;Shapefile;
Collalto;;{S};Italien;45.852895;12.188481;1;;
Colmworth;;{P};Grossbritannien;52.21453368;-0.366846027;1;Shapefile;
Coolkeeragh;power station at Coolkeeragh;{P};Grossbritannien;55.043776;-7.248705;1;;
Cordoba;;{P};Spanien;37.886;-4.7803;2;;
Cornegliano;;{S};Italien;45.287745;9.462563;1;;
Cortemaggiore;;{S};Italien;44.991076;9.920891;1;;
Cosby;;{P};Grossbritannien;52.54070387;-1.206554188;1;Shapefile;
Courthezon;;{C};Frankreich;44.085647;4.882963;2;;
Craigearn;;{P};Grossbritannien;57.21070677;-2.453183487;1;Shapefile;
Crathes;;{P};Grossbritannien;57.02689886;-2.427373618;1;Shapefile;
Cremona;;{P};Italien;45.136959;10.0225;2;;
Crevillente;;{C};Spanien;38.2446844;-0.8113636;2;;
Crook;;{P};Grossbritannien;54.68470243;-1.769934506;1;Shapefile;
Crotone;;{P};Italien;39.078971;17.113881;2;;
Csanadpalota;;{I};Ukraine;46.2361111;20.7325;3;;
CugnoLeMacine;Cugno le Macine (Grottole-Ferrandina);{S};Italien;40.404885;16.532677;1;;
Cupello;;{P};Italien;42.024817;14.701403;2;;
Cuvilly;;{P};Frankreich;49.530886;2.703964;1;;
Damasawek;;{S};Polen;52.836586;17.499403;2;;
Damboice;;{S};Tschechien;49.054629;16.91432;1;;
Daszewo;;{S};Polen;54.078486;15.881808;2;;
Deborah;;{S};Grossbritanien;52.878453;1.44754;2;;
Denia;;{C};Spanien;38.8387992;0.1050557;2;;
DeutschJahndorf;Deutsch Jahndorf;{P};Oesterreich;48.01;17.107;2;;
Deutschneudorf;;{P};Deutschland;50.621;13.473;2;;
DierreyStJulien;;{C};Frankreich;48.310884;3.829932;2;;
Dilsen;;{I};Belgien;51.03747;5.72215;3;;
Diss;;{C};Grossbritannien;52.33222249;1.132177892;1;;
DolniBojanovice;;{S};Tschechien;48.871374;17.028471;1;;
Dolyna;;{C};Ukraine;48.9764573;23.9892459;2;;
Donges;;{P};Frankreich;47.332;-2.069;2;;
DonjiMiholac;;{I};Kroatien;45.762142;18.1651379;3;;
Dornum;Emden;{P};Deutschland;53.66;7.404;2;;
Dravaszerdahely;;{I};Ukraine;45.8363562;18.1638527;3;;
Drax;;{P};Grossbritannien;53.73127878;-0.942728575;1;Shapefile;
Drochia;;{C};Moldawien;48.1177021;27.8080001;2;;
Drohne;;{P};Deutschland;52.429729;8.354677;1;;
Drozdwicze;;{E};Polen;49.8087968;23.6441847;2;;
Drumeldrie;;{P};Grossbritannien;56.22031548;-2.888164664;1;Shapefile;
Duerrengleina;Duerrengleina, Milda;{P};Deutschland;50.856735;11.553175;1;;
